establishment_name|plataforma|estrellas|review_text|categoria_sentimiento|edad|sexo
CORTIJO DEL AIRE|Expedia|3|Estancia pasable. Es un sitio de paso correcto, la comida es casera y tradicional pero el local necesita una reforma.|Neutral|52|Hombre
CORTIJO DEL AIRE|Expedia|1|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|34|Hombre
NATUR WORLD|Booking|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|55|Hombre
NATUR WORLD|Google Maps|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|63|Mujer
VIAJES LA CAÑADA|Booking|2|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|24|Mujer
VIAJES LA CAÑADA|Google Maps|4|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|34|Mujer
VIAJES LA CAÑADA|Trivago|3|Cumple con lo básico. Una taberna tradicional de comida casera con un trato del personal simplemente cordial.|Neutral|42|Hombre
CORTIJO MARTINEZ|Booking|3|Instalaciones normales y limpias. Ofrecen raciones y platos combinados de cocina casera aceptable. El desayuno es básico.|Neutral|43|Mujer
CORTIJO MARTINEZ|TripAdvisor|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|35|Hombre
LA IGLESIA|TripAdvisor|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|21|Hombre
LA IGLESIA|Google Maps|4|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|28|Hombre
LOS CUATRO OLIVOS|Google Maps|3|Tiene una ubicación increíble frente al mar, pero los precios son desorbitados para el nivel de servicio actual. Regular.|Inconclusa|27|Hombre
LOS CUATRO OLIVOS|Expedia|3|El sitio es bonito y el desayuno espectacular, pero el ruido constante y las camas duras estropearon parte de la estancia. No sé si volvería.|Inconclusa|68|Hombre
LOS CUATRO OLIVOS|Booking|3|Ubicación céntrica ideal para comer algo rápido. Tienen comida casera típica de la zona, un servicio normal ni bueno ni malo.|Neutral|19|Hombre
ACTIVIDADES NÁUTICAS COTA ZERO|Google Maps|4|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|46|Hombre
ACTIVIDADES NÁUTICAS COTA ZERO|Trivago|1|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|61|Hombre
LA BODEGUILLA DE LUIS|Google Maps|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|34|Hombre
LA BODEGUILLA DE LUIS|Booking|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|68|Hombre
LA BODEGUILLA DE LUIS|Google Maps|5|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|51|Hombre
CORTIJO LA ENCINA|Google Maps|4|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|46|Mujer
CORTIJO LA ENCINA|Google Maps|1|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|75|Hombre
CORTIJO LA ENCINA|Google Maps|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|43|Hombre
APARTAMENTOS DULCEMAR|Google Maps|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|69|Hombre
APARTAMENTOS DULCEMAR|Expedia|3|Instalaciones normales y limpias. Ofrecen raciones y platos combinados de cocina casera aceptable. El desayuno es básico.|Neutral|22|Mujer
APARTAMENTOS DULCEMAR|TripAdvisor|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|48|Mujer
KAYAK LA ISLA|Trivago|2|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|55|Hombre
KAYAK LA ISLA|Google Maps|5|Una maravilla de lugar. El personal cuida cada detalle, las instalaciones están impecables y el servicio es excelente. Volveremos sin duda.|Positiva|23|Hombre
KAYAK LA ISLA|Booking|2|Por un lado las instalaciones y la piscina son geniales, pero por otro el trato del personal en recepción nos dejó una sensación muy extraña.|Inconclusa|67|Hombre
CORTIJO LAS GACHAS|Trivago|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|68|Hombre
CORTIJO LAS GACHAS|Booking|4|Un sitio mágico, el trato recibido fue de lujo. El desayuno espectacular y las vistas inmejorables. Un 10 de 10.|Positiva|39|Mujer
CASA CIGARRÓN|Booking|5|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|41|Mujer
CASA CIGARRÓN|Trivago|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|62|Mujer
LAS NEGRAS MULTISERVICIOS|Trivago|3|Un local normal y corriente de comida casera. No destaca en nada especialmente positivo pero tampoco tiene fallos graves.|Neutral|20|Hombre
LAS NEGRAS MULTISERVICIOS|Trivago|3|El hotel es moderno y cómodo, sin embargo la gestión de las reservas parece caótica y nos causó bastante estrés al llegar.|Inconclusa|68|Hombre
DON ANGEL|Google Maps|2|Instalaciones anticuadas y descuidadas. El baño tenía pérdidas de agua y el wifi nunca llegó a funcionar correctamente.|Negativa|24|Mujer
DON ANGEL|TripAdvisor|2|La comida del buffet estaba buenísima, pero la limpieza de la habitación el primer día fue inexistente. Te quedas con sentimientos encontrados.|Inconclusa|27|Mujer
PLAYAVERA|Expedia|1|Pésima gestión. Teníamos una reserva confirmada y al llegar nos dijeron que no constaba en el sistema. No lo recomiendo.|Negativa|18|Mujer
PLAYAVERA|Trivago|4|Excelente relación calidad-precio. La ubicación es ideal para hacer turismo y la atención al cliente de primera.|Positiva|20|Mujer
PLAYAVERA|Booking|4|Estancia perfecta. Todo súper limpio, las camas son comodísimas y hay mucha tranquilidad. Totalmente recomendable.|Positiva|28|Mujer
LA MOLIENDA MOLINO FERNÁN PÉREZ|Expedia|1|Precio totalmente elevado para lo que ofrecen. La limpieza deja mucho que desear y las camas eran sumamente duras e incómodas.|Negativa|18|Mujer
LA MOLIENDA MOLINO FERNÁN PÉREZ|Booking|3|Cumple con lo básico. Una taberna tradicional de comida casera con un trato del personal simplemente cordial.|Neutral|47|Hombre
MAMABEL'S|Expedia|1|Una experiencia decepcionante. El ruido de la calle no permitía dormir y no nos dieron ninguna solución en recepción.|Negativa|62|Hombre
